# Server version 0.08 running on 192.168.2.11:8123
# Game ID: 4
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Sun Mar 29 14:57:50 EDT 2015
# Player 1: Player-0, 's260560802', running on localhost
# Player 2: Player-1, 'random', running on localhost
START Player-0 s260560802
START Player-1 random
INIT 0 true 1,1,1,1,0,4,1,1,4,0,3,4,0,4,2,5
INIT 1 true 5,6,5,7,3,3,3,0,0,0,0,0,0,0,0,0
PIT 0 14
PIT 1 6
PIT 0 11
PIT 1 4
PIT 0 14
PIT 1 3
PIT 0 6
PIT 1 2
PIT 0 11
PIT 1 4
PIT 0 12
PIT 1 1
PIT 0 15
PIT 1 0
PIT 0 12
PIT 1 4
PIT 0 13
PIT 1 2
PIT 0 13
PIT 1 3
PIT 0 1
PIT 1 4
PIT 0 15
PIT 1 5
PIT 0 3
PIT 1 6
PIT 0 15
GAMEOVER WINNER 0
# Game ended: Sun Mar 29 14:57:51 EDT 2015
