# Server version 0.08 running on 192.168.2.11:8123
# Game ID: 22
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Sun Mar 29 15:00:23 EDT 2015
# Player 1: Player-0, 'random', running on localhost
# Player 2: Player-1, 's260560802', running on localhost
START Player-0 random
START Player-1 s260560802
INIT 0 true 1,0,1,0,5,3,1,3,0,2,6,0,3,1,1,5
INIT 1 true 4,6,4,5,3,5,3,2,0,0,0,0,0,0,0,0
PIT 0 10
PIT 1 4
PIT 0 14
PIT 1 5
PIT 0 6
PIT 1 3
PIT 0 11
PIT 1 6
PIT 0 13
PIT 1 7
PIT 0 8
PIT 1 11
PIT 0 15
PIT 1 13
PIT 0 10
PIT 1 4
PIT 0 14
PIT 1 9
PIT 0 9
PIT 1 8
PIT 0 15
PIT 1 13
PIT 0 7
PIT 1 8
PIT 0 11
PIT 1 15
PIT 0 12
PIT 1 15
GAMEOVER WINNER 1
# Game ended: Sun Mar 29 15:00:23 EDT 2015
