# Server version 0.08 running on vpn156053.wireless.mcgill.ca:8123
# Game ID: 31
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Mon Mar 30 14:05:46 EDT 2015
# Player 1: Player-0, 's260560802', running on localhost
# Player 2: Player-1, 's260560802', running on localhost
START Player-0 s260560802
START Player-1 s260560802
INIT 0 true 0,4,3,2,0,2,3,2,3,2,1,3,1,2,3,1
INIT 1 true 2,4,7,6,4,5,2,2,0,0,0,0,0,0,0,0
PIT 0 13
PIT 1 5
PIT 0 13
PIT 1 6
PIT 0 5
PIT 1 3
PIT 0 14
PIT 1 1
PIT 0 15
PIT 1 4
PIT 0 14
PIT 1 5
PIT 0 12
PIT 1 6
PIT 0 14
PIT 1 2
PIT 0 9
PIT 1 3
PIT 0 15
PIT 1 4
PIT 0 14
PIT 1 5
PIT 0 2
PIT 1 8
PIT 0 15
PIT 1 0
PIT 0 13
GAMEOVER WINNER 0
# Game ended: Mon Mar 30 14:05:46 EDT 2015
